video_id,video_title,published_at,playlist_name,playlist_id,video_url,channel_title,views,likes,comments,duration,angry,disgust,fear,happy,sad,surprise,neutral,pct_with_face,brightness,mean_r,mean_g,mean_b,blurriness,title is plain,title is emotionally touching,title is exaggerated
34k7UI-DR_8,TESTING $1400 Ai POWERED ELECTRIC SHOES in NYC,2023-02-22 21:32:11+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=34k7UI-DR_8,CaseyNeistat,3833790,86213,3818,PT5M20S,17.123081,0.06727056,9.880179,13.091836,15.061942,4.40546,40.37023,46.546546546546544,100.6373991830372,105.37083132611778,99.2243805263597,95.5168965710502,564.3131391260409,0.4767003059387207,0.1914135217666626,0.3318861424922943
ouPPSqFAbb4,my stupid idiot brain,2023-02-07 22:02:51+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=ouPPSqFAbb4,CaseyNeistat,1316068,55708,1949,PT5M37S,17.451323,0.22295015,10.492683,31.285488,12.834974,1.3713228,26.341259,45.2991452991453,80.26718631291547,90.94773866581592,76.82000448866334,69.98457028776907,306.84476210712444,0.1595471054315567,0.05270710960030556,0.7877457737922668
rzCFZypafAM,Reuniting With my Dad,2023-01-31 22:27:13+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=rzCFZypafAM,CaseyNeistat,1104999,53907,2415,PT6M59S,10.755482,0.27208456,18.802534,17.90593,21.46378,1.4777534,29.322437,40.50343249427917,103.47936937849606,110.39008626922832,101.7058575673786,94.47252076778224,377.5121767779064,0.19942039251327515,0.6854868531227112,0.11509274691343307
WlY9pDwGbjw,The Greatest Moment,2023-01-27 14:38:20+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=WlY9pDwGbjw,CaseyNeistat,1474959,64845,2135,PT7M53S,24.512482,0.4447256,16.080826,9.347385,27.950825,0.2664542,21.397303,64.50304259634888,94.09585713883254,100.087873765706,91.98328201593137,89.30579442049809,463.0375790828035,0.23672877252101898,0.6006039381027222,0.16266734898090363
o0xoWsYXIrY,it’s toxic.,2023-01-26 17:06:01+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=o0xoWsYXIrY,CaseyNeistat,13777106,553970,4471,PT39S,18.194136,0.009754835,14.402428,10.209397,35.33205,0.001509608,21.850727,43.58974358974359,109.52923855947294,121.21691217058404,106.60783954326922,94.00919404380342,379.5266227021978,0.637535035610199,0.010326187126338482,0.3521387279033661
cldSbEoNR2A,my last day of 2022,2023-01-02 03:10:48+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=cldSbEoNR2A,CaseyNeistat,3303682,119374,591,PT1M1S,23.457344,0.012622274,33.664196,5.644321,34.072105,0.27238837,2.8770227,15.0,111.95239250578705,121.1171568287037,109.5680823929398,100.12336957465278,427.56471522930696,0.28022637963294983,0.3377797305583954,0.3819939196109772
KehujfbRBts,3 things i learned from 800 days of vlogging,2022-12-05 21:57:09+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=KehujfbRBts,CaseyNeistat,2028511,76017,2471,PT6M31S,23.981611,0.9501846,13.147733,11.641269,14.333172,2.0317528,33.91428,47.794117647058826,81.47040011403867,87.76099293428308,79.3305631935934,76.00013684640523,475.66829765553285,0.4031604528427124,0.1440524309873581,0.4527871608734131
i4GJnpOZmiM,Elon Musk's Six Rules for Tesla Employees,2022-11-29 13:37:53+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=i4GJnpOZmiM,CaseyNeistat,1860317,80558,4587,PT3M15S,7.8003855,0.25126547,3.1098995,1.6317191,15.782365,0.5510439,70.87332,95.5665024630542,68.81007545241516,77.66217381636562,66.0829086061508,59.81766514436234,743.3796987549114,0.6441572308540344,0.14395558834075928,0.2118872106075287
mshN3N0jOng,the Greatest Gift,2022-11-25 16:13:52+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=mshN3N0jOng,CaseyNeistat,1857767,71092,1437,PT10M28S,11.577421,1.0455371,19.368387,13.122643,19.286095,2.0556967,33.54422,39.54198473282442,95.13281797338848,101.48016508296226,92.68481772821248,91.11559606260602,455.70969809038905,0.3694535195827484,0.46333518624305725,0.16721124947071075
Qwr5tGG0jfQ,i found my next apartment.,2022-11-22 17:32:52+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=Qwr5tGG0jfQ,CaseyNeistat,3485933,99058,2683,PT6M25S,16.480768,0.7561457,22.536127,20.158796,22.95544,0.8106967,16.302027,27.680798004987533,85.72862983600028,91.68485845932044,83.76167173212802,80.22150978889582,345.8749442615335,0.3878217041492462,0.3262641429901123,0.2859141528606415
